train_rank,arm,max_iterations,populations,population_size,max_size,parsimony,n_fits,median_train_r2,median_heldout_r2,max_heldout_r2,n_heldout_ge_06
19,it700_p60_ps60_ms26_par01_unone_bdiv,700,60,60,26,0.1,18,0.829266,0.333295,0.975123,9
20,it700_p60_ps30_ms26_par08_unone_bdiv,700,60,30,26,0.8,18,0.828808,0.288007,0.977021,7
21,it1400_p30_ps30_ms18_par01_unone_bdiv,1400,30,30,18,0.1,18,0.823368,0.326898,0.930246,6
22,it1400_p60_ps60_ms26_par08_unone_bdiv,1400,60,60,26,0.8,18,0.819329,0.308673,0.952553,7
23,it700_p60_ps60_ms26_par08_unone_bdiv,700,60,60,26,0.8,18,0.819329,0.359524,0.952553,7
24,it700_p30_ps60_ms22_par01_unone_bdiv,700,30,60,22,0.1,18,0.818172,0.137856,0.910801,5
25,it1400_p60_ps60_ms22_par08_unone_bdiv,1400,60,60,22,0.8,18,0.817348,0.56522,0.973135,9
26,it1400_p60_ps30_ms22_par08_unone_bdiv,1400,60,30,22,0.8,18,0.81692,0.252795,0.919159,6
27,it700_p60_ps30_ms26_par30_unone_bdiv,700,60,30,26,3.0,18,0.808373,0.533164,0.902165,9
28,it1400_p60_ps30_ms26_par30_unone_bdiv,1400,60,30,26,3.0,18,0.801362,0.644664,0.958884,10
29,it1400_p60_ps60_ms26_par30_unone_bdiv,1400,60,60,26,3.0,18,0.801256,0.34873,0.98283,8
30,it700_p60_ps60_ms26_par30_unone_bdiv,700,60,60,26,3.0,18,0.800595,0.34873,0.98283,8
31,it700_p60_ps30_ms22_par01_unone_bdiv,700,60,30,22,0.1,18,0.792822,0.301008,0.946492,5
32,it1400_p60_ps30_ms18_par08_unone_bdiv,1400,60,30,18,0.8,18,0.788435,0.341442,0.918297,7
33,it1400_p30_ps60_ms18_par08_unone_bdiv,1400,30,60,18,0.8,18,0.78403,0.427775,0.962761,6
34,it700_p60_ps30_ms26_par01_unone_bdiv,700,60,30,26,0.1,18,0.781337,0.38228,0.930961,6
35,it700_p60_ps30_ms18_par08_unone_bdiv,700,60,30,18,0.8,18,0.779284,0.111798,0.95579,6
36,it1400_p30_ps30_ms22_par08_unone_bdiv,1400,30,30,22,0.8,18,0.776068,0.181652,0.923525,6
37,it700_p30_ps30_ms22_par08_unone_bdiv,700,30,30,22,0.8,18,0.776068,0.181652,0.923525,6
38,it1400_p30_ps60_ms26_par01_unone_bdiv,1400,30,60,26,0.1,18,0.771901,0.30202,0.965155,8
39,it700_p60_ps60_ms18_par01_unone_bdiv,700,60,60,18,0.1,18,0.770909,0.0,0.936013,5
